Doctor ID,Name,Specialty,Years of Experience,Affiliation,Average Rating
PREVE_09,Dr. Kayla Baxter,Preventive Medicine Specialist,38,West Jenniferbury Medical Center,3.97
PREVE_10,Dr. Brian Smith,Preventive Medicine Specialist,33,Colleenstad Medical Center,4.78
PSYCH_01,Dr. Leslie Romero,Psychiatrist,21,North Adam Medical Center,4.06
PSYCH_02,Dr. Blake Garner,Psychiatrist,7,New Jared Medical Center,4.81
PSYCH_03,Dr. Patrick Wilkins,Psychiatrist,18,West Erinstad Medical Center,4.95
PSYCH_04,Dr. Keith Sweeney,Psychiatrist,32,North Richard Medical Center,4.08
PSYCH_05,Dr. Jenna Love,Psychiatrist,33,Judyhaven Medical Center,4.36
PSYCH_06,Dr. Regina Osborne,Psychiatrist,7,Jonesburgh Medical Center,4.05
PSYCH_07,Dr. Jennifer Wilcox,Psychiatrist,32,Michaelview Medical Center,4.66
PSYCH_08,Dr. Christina Wilson,Psychiatrist,23,West Johnport Medical Center,3.59
PSYCH_09,Dr. Scott Reed,Psychiatrist,8,South Austin Medical Center,4.47
PSYCH_10,Dr. Katelyn White,Psychiatrist,14,Wrightville Medical Center,4.04
PULMO_01,Dr. George Medina,Pulmonologist,38,Patelhaven Medical Center,3.94
PULMO_02,Dr. Tracy Leonard,Pulmonologist,26,Lisaburgh Medical Center,3.58
PULMO_03,Dr. Felicia Smith,Pulmonologist,9,Floydberg Medical Center,4.56
PULMO_04,Dr. Darrell Copeland,Pulmonologist,18,West Kristieside Medical Center,3.6
PULMO_05,Dr. Nathaniel Browning,Pulmonologist,27,Port Mark Medical Center,4.53
PULMO_06,Dr. Kristina Mann,Pulmonologist,14,Kelleymouth Medical Center,3.92
PULMO_07,Dr. Stephen Weaver,Pulmonologist,32,Danport Medical Center,3.66
PULMO_08,Dr. Victor Brooks,Pulmonologist,19,North Henryton Medical Center,3.83
PULMO_09,Dr. Robert Collins,Pulmonologist,6,North Michaelberg Medical Center,4.18
PULMO_10,Dr. Timothy Sanders,Pulmonologist,39,Melissahaven Medical Center,3.74
RADIA_01,Dr. Rebecca Larson,Radiation Oncologist,24,Ashleyburgh Medical Center,4.92
RADIA_02,Dr. Jonathan Reyes,Radiation Oncologist,18,New Eric Medical Center,4.28
RADIA_03,Dr. Maria Trevino,Radiation Oncologist,21,New David Medical Center,3.6
RADIA_04,Dr. William Frederick,Radiation Oncologist,10,Johnsonview Medical Center,4.66
RADIA_05,Dr. Troy Mendez,Radiation Oncologist,7,North Ernestmouth Medical Center,3.74
RADIA_06,Dr. Alexis Anderson,Radiation Oncologist,8,Lake Elizabethmouth Medical Center,4.5
RADIA_07,Dr. Linda Thomas,Radiation Oncologist,6,New Wendyburgh Medical Center,3.51
RADIA_08,Dr. David Potter,Radiation Oncologist,37,Port Stephanie Medical Center,4.5
RADIA_09,Dr. Amber Middleton,Radiation Oncologist,30,Chadland Medical Center,4.77
RADIA_10,Dr. Brian Griffin,Radiation Oncologist,40,West Micheleview Medical Center,3.55
RADIO_01,Dr. Joyce Robinson,Radiologist,40,Samanthastad Medical Center,4.12
RADIO_02,Dr. Craig Stewart,Radiologist,5,Castrohaven Medical Center,4.58
RADIO_03,Dr. Jose Mcpherson,Radiologist,29,Bishopmouth Medical Center,3.84
RADIO_04,Dr. James Stephens,Radiologist,11,North Bethhaven Medical Center,4.73
RADIO_05,Dr. Louis Gordon,Radiologist,5,Claymouth Medical Center,3.63
RADIO_06,Dr. Jesse Miller,Radiologist,24,Jeffreystad Medical Center,3.61
RADIO_07,Dr. Brandon Smith,Radiologist,14,Tonyfurt Medical Center,4.5
RADIO_08,Dr. Thomas Henderson,Radiologist,8,Stewartchester Medical Center,4.72
RADIO_09,Dr. Christopher Coleman,Radiologist,14,Rodneyville Medical Center,3.81
